token	source	category	definition
YPN2	google	tag_axis	Vertical Position of Paint 2	
VOLM	google	tag_axis	Volume	
WONK	google	tag_axis	Wonky	
YEAR	google	tag_axis	Year	
hasc	spec	tag_value	Horizontal Ascender	
hdsc	spec	tag_value	Horizontal Descender	
hlgp	spec	tag_value	Horizontal Line Gap	
hcla	spec	tag_value	Horizontal Clipping Ascent	
hcld	spec	tag_value	Horizontal Clipping Descent	
vasc	spec	tag_value	Vertical Ascender	
vdsc	spec	tag_value	Vertical Descender	
vlgp	spec	tag_value	Vertical Line Gap	
hcrs	spec	tag_value	Horizontal Caret Rise	
hcrn	spec	tag_value	Horizontal Caret Run	
hcof	spec	tag_value	Horizontal Caret Offset	
vcrs	spec	tag_value	Vertical Caret Rise	
vcrn	spec	tag_value	Vertical Caret Run	
vcof	spec	tag_value	Vertical Caret Offset	
xhgt	spec	tag_value	x Height	
cpht	spec	tag_value	Cap Height	
sbxs	spec	tag_value	Subscript Em X Size	
sbys	spec	tag_value	Subscript Em Y Size	
sbxo	spec	tag_value	Subscript Em X Offset	
sbyo	spec	tag_value	Subscript Em Y Offset	
spxs	spec	tag_value	Superscript Em X Size	
spys	spec	tag_value	Superscript Em Y Size	
spxo	spec	tag_value	Superscript Em X Offset	
spyo	spec	tag_value	Superscript Em Y Offset	
strs	spec	tag_value	Strikeout Size	
stro	spec	tag_value	Strikeout Offset	
unds	spec	tag_value	Underline Size	
undo	spec	tag_value	Underline Offset	
gsp0	spec	tag_value	gaspRange[0]	
gsp1	spec	tag_value	gaspRange[1]	
gsp2	spec	tag_value	gaspRange[2]	
gsp3	spec	tag_value	gaspRange[3]	
gsp4	spec	tag_value	gaspRange[4]	
gsp5	spec	tag_value	gaspRange[5]	
gsp6	spec	tag_value	gaspRange[6]	
gsp7	spec	tag_value	gaspRange[7]	
gsp8	spec	tag_value	gaspRange[8]	
gsp9	spec	tag_value	gaspRange[9]	
appl	spec	tag_metadata	Reserved, used by Apple	
bild	spec	tag_metadata	Reserved, used by Apple	
dlng	spec	tag_metadata	Design Languages	
slng	spec	tag_metadata	Supported Languages	
adlm	spec	tag_script	Adlam	
ahom	spec	tag_script	Ahom	
hluw	spec	tag_script	Anatolian Hieroglyphs	
arab	spec	tag_script	Arabic	
armn	spec	tag_script	Armenian	
avst	spec	tag_script	Avestan	
bali	spec	tag_script	Balinese	
bamu	spec	tag_script	Bamum	
bass	spec	tag_script	Bassa Vah	
batk	spec	tag_script	Batak	
beng	spec	tag_script	Bangla	
bng2	spec	tag_script	Bangla v.2	
berf	spec	tag_script	Beria Erfe	
bhks	spec	tag_script	Bhaiksuki	
bopo	spec	tag_script	Bopomofo	
brah	spec	tag_script	Brahmi	
brai	spec	tag_script	Braille	
bugi	spec	tag_script	Buginese	
buhd	spec	tag_script	Buhid	
byzm	spec	tag_script	Byzantine Music	
cans	spec	tag_script	Canadian Syllabics	
cari	spec	tag_script	Carian	
aghb	spec	tag_script	Caucasian Albanian	
cakm	spec	tag_script	Chakma	
cham	spec	tag_script	Cham	
cher	spec	tag_script	Cherokee	
chrs	spec	tag_script	Chorasmian	
hani	spec	tag_script	CJK Ideographic	
copt	spec	tag_script	Coptic	
cprt	spec	tag_script	Cypriot Syllabary	
cpmn	spec	tag_script	Cypro-Minoan	
cyrl	spec	tag_script	Cyrillic	
DFLT	spec	tag_script	Default	
dsrt	spec	tag_script	Deseret	
deva	spec	tag_script	Devanagari	
dev2	spec	tag_script	Devanagari v.2	
diak	spec	tag_script	Dives Akuru	
dogr	spec	tag_script	Dogra	
dupl	spec	tag_script	Duployan	
egyp	spec	tag_script	Egyptian Hieroglyphs	
elba	spec	tag_script	Elbasan	
elym	spec	tag_script	Elymaic	
ethi	spec	tag_script	Ethiopic	
gara	spec	tag_script	Garay	
geor	spec	tag_script	Georgian	
glag	spec	tag_script	Glagolitic	
goth	spec	tag_script	Gothic	
gran	spec	tag_script	Grantha	
grek	spec	tag_script	Greek	
gujr	spec	tag_script	Gujarati	
gjr2	spec	tag_script	Gujarati v.2	
gong	spec	tag_script	Gunjala Gondi	
guru	spec	tag_script	Gurmukhi	
gur2	spec	tag_script	Gurmukhi v.2	
gukh	spec	tag_script	Gurung Khema	
hang	spec	tag_script	Hangul	
jamo	spec	tag_script	Hangul Jamo (deprecated in favor of 'hang')	
rohg	spec	tag_script	Hanifi Rohingya	
hano	spec	tag_script	Hanunoo	
hatr	spec	tag_script	Hatran	
hebr	spec	tag_script	Hebrew	
kana	spec	tag_script	Hiragana	
armi	spec	tag_script	Imperial Aramaic	
phli	spec	tag_script	Inscriptional Pahlavi	
prti	spec	tag_script	Inscriptional Parthian	
java	spec	tag_script	Javanese	
kthi	spec	tag_script	Kaithi	
knda	spec	tag_script	Kannada	
knd2	spec	tag_script	Kannada v.2	
kana	spec	tag_script	Katakana	
kawi	spec	tag_script	Kawi	
kali	spec	tag_script	Kayah Li	
khar	spec	tag_script	Kharosthi	
kits	spec	tag_script	Khitan Small Script	
khmr	spec	tag_script	Khmer	
khoj	spec	tag_script	Khojki	
sind	spec	tag_script	Khudawadi	
krai	spec	tag_script	Kirat Rai	
lao 	spec	tag_script	Lao	
latn	spec	tag_script	Latin	
lepc	spec	tag_script	Lepcha	
limb	spec	tag_script	Limbu	
lina	spec	tag_script	Linear A	
linb	spec	tag_script	Linear B	
lisu	spec	tag_script	Lisu (Fraser)	
lyci	spec	tag_script	Lycian	
lydi	spec	tag_script	Lydian	
mahj	spec	tag_script	Mahajani	
maka	spec	tag_script	Makasar	
mlym	spec	tag_script	Malayalam	
mlm2	spec	tag_script	Malayalam v.2	
mand	spec	tag_script	Mandaic, Mandaean	
mani	spec	tag_script	Manichaean	
marc	spec	tag_script	Marchen	
gonm	spec	tag_script	Masaram Gondi	
math	spec	tag_script	Mathematical text layout	
medf	spec	tag_script	Medefaidrin (Oberi Okaime, Oberi Ɔkaimɛ)	
